ID	ParticleType	recovery_Year	recovery_Month	recovery_Day	Trap	Station	Sample_Time
T1	bulk_fresh	2017	2	8	WW2	2	0
T2	bulk_RNAlater	2017	2	8	WW2	2	0
T4	bulk_fresh	2017	2	13	WW3	3	0
T5	bulk_RNAlater	2017	2	13	WW3	3	0
T7	bulk_fresh	2017	2	14	WW4	3	0
T8	bulk_RNAlater	2017	2	14	WW4	3	0
P1	aggregate	2017	2	2	NBST1	1	0
P2	dense_detritus	2017	2	2	NBST1	1	0
P3	aggregate	2017	2	2	NBST1	1	0
P4	dense_detritus	2017	2	2	NBST1	1	0
P5	long_fecal_pellet	2017	2	2	NBST1	1	0
P6	dense_detritus	2017	2	2	NBST1	1	0
P7	long_fecal_pellet	2017	2	2	NBST1	1	0
P8	dense_detritus	2017	2	2	NBST1	1	0
P9	dense_detritus	2017	2	2	NBST1	1	0
P10	dense_detritus	2017	2	2	NBST1	1	0
P12	dense_detritus	2017	2	2	NBST1	1	0
P13	aggregate	2017	2	2	NBST1	1	0
P15	large_loose_pellet	2017	2	2	WW2	2	0
P16	long_fecal_pellet	2017	2	8	WW2	2	0
P18	dense_detritus	2017	2	8	WW2	2	0
P23	dense_detritus	2017	2	8	WW2	2	0
P24	long_fecal_pellet	2017	2	8	WW2	2	0
P25	dense_detritus	2017	2	8	WW2	2	0
P27	large_loose_pellet	2017	2	13	WW3	3	0
P28	long_fecal_pellet	2017	2	13	WW3	3	0
P29	large_loose_pellet	2017	2	13	WW3	3	0
P30	large_loose_pellet	2017	2	13	WW3	3	0
P31	large_loose_pellet	2017	2	13	WW3	3	0
P32	aggregate	2017	2	13	WW3	3	0
P33	aggregate	2017	2	13	WW3	3	0
P34	aggregate	2017	2	13	WW3	3	0
P35	aggregate	2017	2	13	WW3	3	0
P36	aggregate	2017	2	13	WW3	3	0
P37	aggregate	2017	2	13	WW3	3	0
P38	aggregate	2017	2	13	WW3	3	0
P39	aggregate	2017	2	13	WW3	3	0
P40	aggregate	2017	2	13	WW3	3	0
P41	aggregate	2017	2	13	WW3	3	0
P42	long_fecal_pellet	2017	2	14	WW4	3	0
P43	large_loose_pellet	2017	2	14	WW4	3	0
P44	long_fecal_pellet	2017	2	14	WW4	3	0
P45	large_loose_pellet	2017	2	14	WW4	3	0
P46	large_loose_pellet	2017	2	14	WW4	3	0
P47	aggregate	2017	2	14	WW4	3	0
P48	aggregate	2017	2	14	WW4	3	0
P49	aggregate	2017	2	14	WW4	3	0
P50	aggregate	2017	2	14	WW4	3	0
P51	aggregate	2017	2	14	WW4	3	0
P52	dense_detritus	2017	2	14	WW4	3	0
P53	dense_detritus	2017	2	14	WW4	3	0
P54	dense_detritus	2017	2	14	WW4	3	0
P55	dense_detritus	2017	2	14	WW4	3	0
P56	dense_detritus	2017	2	14	WW4	3	0
P57	long_fecal_pellet	2017	2	13	WW3	3	2
P58	large_loose_pellet	2017	2	13	WW3	3	2
P59	long_fecal_pellet	2017	2	13	WW3	3	2
P60	large_loose_pellet	2017	2	13	WW3	3	2
P61	large_loose_pellet	2017	2	13	WW3	3	2
P62	aggregate	2017	2	13	WW3	3	2
P63	aggregate	2017	2	13	WW3	3	2
P64	aggregate	2017	2	13	WW3	3	2
P65	aggregate	2017	2	13	WW3	3	2
P66	dense_detritus	2017	2	13	WW3	3	2
P67	dense_detritus	2017	2	13	WW3	3	2
P68	large_loose_pellet	2017	2	13	WW3	3	2
P69	dense_detritus	2017	2	13	WW3	3	2
P70	aggregate	2017	2	13	WW3	3	2
P71	dense_detritus	2017	2	13	WW3	3	2
P72	large_loose_pellet	2017	2	14	WW4	3	1
P73	large_loose_pellet	2017	2	14	WW4	3	1
P74	large_loose_pellet	2017	2	14	WW4	3	1
P75	large_loose_pellet	2017	2	14	WW4	3	1
P76	large_loose_pellet	2017	2	14	WW4	3	1
P77	dense_detritus	2017	2	14	WW4	3	1
P78	dense_detritus	2017	2	14	WW4	3	1
P79	aggregate	2017	2	14	WW4	3	1
P80	aggregate	2017	2	14	WW4	3	1
P81	aggregate	2017	2	14	WW4	3	1
P82	dense_detritus	2017	2	14	WW4	3	1
P83	dense_detritus	2017	2	14	WW4	3	1